title,price,link,images,store_id,product_id
SAMSUNG Z FLIP3 8G 256G LAVENDER,9990,https://www.electroplanet.ma/p2870705-samsung-z-flip3-8g-256g-lavender.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2870705-2.jpg,electroplanet,samsung-galaxy-z-flip3-5g-8gb-256gb
APPLE IPHONE 13 128G BLEU,11249,https://www.electroplanet.ma/p2908604-apple-iphone-13-128g-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_blue_pure_back_iphone_13_blue_pure_front_2-up_screen__usen.jpg,electroplanet,apple-iphone-13-4gb-128gb
APPLE IPHONE 13 128GO MIDNIGHT,11249,https://www.electroplanet.ma/p2908600-apple-iphone-13-128go-midnight.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_midnight_pure_back_iphone_13_midnight_pure_front_2-up_screen__usen.jpg,electroplanet,apple-iphone-13-4gb-128gb
APPLE IPHONE 12 64 GO NOIR,11399,https://www.electroplanet.ma/p2828033-apple-iphone-12-64-go-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_12_black_pure_front_iphone_12_black_pure_back_2-up_screen__usen_4.jpg,electroplanet,apple-iphone-12-4gb-64gb
APPLE IPHONE 12 64G WHITE,11399,https://www.electroplanet.ma/p2585064-apple-iphone-12-64g-white.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_12_white_pure_front_iphone_12_white_pure_back_2-up_screen__usen_2.jpg,electroplanet,apple-iphone-12-4gb-64gb
SAMSUNG GALAXY S21+ NOIR,11490,https://www.electroplanet.ma/p2817235-samsung-galaxy-s21-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2817235-4.jpg,electroplanet,
SAMSUNG GALAXY S21+ VIOLET,11490,https://www.electroplanet.ma/p2817237-samsung-galaxy-s21-violet.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/2/s21_violet.jpg,electroplanet,
APPLE IPHONE 13 256G BLEU,12790,https://www.electroplanet.ma/p2908609-apple-iphone-13-256g-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_blue_pure_back_iphone_13_blue_pure_front_2-up_screen__usen_1.jpg,electroplanet,apple-iphone-13-4gb-256gb
APPLE IPHONE 13 256G MIDNIGHT,12790,https://www.electroplanet.ma/p2908605-apple-iphone-13-256g-midnight.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_midnight_pure_back_iphone_13_midnight_pure_front_2-up_screen__usen_1.jpg,electroplanet,apple-iphone-13-4gb-256gb
SAMSUNG GALAXY S21 ULTRA NOIR,13490,https://www.electroplanet.ma/p2817238-samsung-galaxy-s21-ultra-noir.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2817238-2.jpg,electroplanet,
